iter	Passed	Remaining
813	32774	47752
814	32825	47727
815	32865	47687
816	32915	47661
817	32972	47644
818	33011	47602
819	33055	47567
820	33109	47547
821	33169	47535
822	33229	47522
823	33292	47514
824	33347	47495
825	33403	47476
826	33466	47468
827	33518	47443
828	33556	47400
829	33613	47383
830	33663	47356
831	33705	47317
832	33752	47286
833	33791	47242
834	33834	47205
835	33876	47167
836	33925	47139
837	33983	47122
838	34033	47095
839	34071	47051
840	34111	47009
841	34149	46966
842	34194	46931
843	34243	46901
844	34282	46859
845	34319	46814
846	34357	46769
847	34400	46733
848	34452	46707
849	34500	46677
850	34540	46636
851	34587	46604
852	34641	46580
853	34691	46553
854	34734	46515
855	34784	46487
856	34837	46463
857	34897	46448
858	34953	46427
859	35010	46409
860	35069	46392
861	35122	46368
862	35177	46346
863	35235	46328
864	35293	46309
865	35350	46290
866	35404	46266
867	35452	46235
868	35511	46218
869	35570	46200
870	35626	46179
871	35697	46177
872	35752	46154
873	35813	46139
874	35872	46121
875	35933	46106
876	35999	46096
877	36045	46063
878	36113	46055
879	36153	46012
880	36202	45981
881	36250	45950
882	36302	45922
883	36352	45893
884	36410	45872
885	36475	45861
886	36521	45826
887	36559	45781
888	36620	45765
889	36680	45747
890	36743	45733
891	36796	45706
892	36845	45675
893	36908	45660
894	36978	45655
895	37025	45620
896	37069	45582
897	37110	45540
898	37151	45499
899	37187	45451
900	37229	45411
901	37284	45386
902	37347	45371
903	37410	45355
904	37453	45316
905	37501	45282
906	37555	45257
907	37618	45241
908	37663	45204
909	37699	45156
910	37739	45113
911	37780	45071
912	37841	45053
913	37891	45021
914	37941	44991
915	37990	44958
916	38029	44913
917	38069	44870
918	38105	44822
919	38141	44775
920	38184	44735
921	38220	44686
922	38263	44648
923	38312	44614
924	38364	44585
925	38420	44561
926	38480	44541
927	38530	44508
928	38578	44475
929	38627	44442
930	38679	44413
931	38730	44382
932	38785	44356
933	38825	44312
934	38861	44264
935	38904	44224
936	38948	44185
937	39002	44158
938	39053	44127
939	39106	44099
940	39163	44074
941	39246	44079
942	39282	44031
943	39318	43983
944	39374	43958
945	39426	43927
946	39493	43913
947	39539	43877
948	39581	43835
949	39624	43795
950	39666	43754
951	39706	43710
952	39756	43677
953	39806	43645
954	39863	43620
955	39924	43599
956	39978	43571
957	40040	43550
958	40095	43523
959	40143	43488
960	40194	43456
961	40252	43432
962	40296	43392
963	40351	43364
964	40411	43342
965	40464	43312
966	40506	43270
967	40544	43225
968	40581	43178
969	40616	43128
970	40657	43086
971	40707	43052
972	40760	43022
973	40811	42990
974	40872	42968
975	40932	42945
976	40986	42916
977	41027	42872
978	41074	42836
979	41127	42806
980	41186	42781
981	41239	42751
982	41311	42740
983	41351	42696
984	41399	42660
985	41450	42627
986	41502	42596
987	41560	42570
988	41622	42548
989	41673	42515
990	41726	42484
991	41771	42445
992	41816	42405
993	41854	42360
994	41890	42311
995	41933	42270
996	41975	42228
997	42018	42187
998	42067	42151
999	42128	42128
1000	42182	42097
1001	42245	42076
1002	42300	42047
1003	42362	42025
1004	42412	41990
1005	42465	41958
1006	42517	41926
1007	42566	41890
1008	42617	41857
1009	42671	41826
1010	42732	41802
1011	42784	41770
1012	42839	41739
1013	42893	41709
1014	42948	41679
1015	43006	41652
1016	43063	41624
1017	43120	41595
1018	43180	41570
1019	43239	41543
1020	43308	41526
1021	43371	41504
1022	43423	41470
1023	43477	41439
1024	43543	41419
1025	43583	41374
1026	43620	41327
1027	43656	41277
1028	43698	41235
1029	43752	41204
1030	43806	41171
1031	43855	41135
1032	43905	41100
1033	43958	41067
1034	44008	41032
1035	44071	41008
1036	44119	40970
1037	44167	40933
1038	44213	40894
1039	44262	40857
1040	44313	40822
1041	44367	40790
1042	44427	40763
1043	44474	40726
1044	44536	40700
1045	44594	40671
1046	44636	40629
1047	44682	40589
1048	44734	40555
1049	44788	40522
1050	44841	40489
1051	44892	40454
1052	44944	40420
1053	45002	40391
1054	45074	40374
1055	45127	40341
1056	45178	40306
1057	45218	40260
1058	45268	40224
1059	45324	40193
1060	45383	40165
1061	45444	40138
1062	45494	40101
1063	45544	40065
1064	45599	40033
1065	45660	40006
1066	45710	39970
1067	45745	39920
1068	45781	39871
1069	45825	39829
1070	45877	39794
1071	45921	39753
1072	45968	39713
1073	46020	39679
1074	46070	39641
1075	46128	39612
1076	46196	39590
1077	46245	39553
1078	46294	39515
1079	46357	39489
1080	46407	39452
1081	46452	39411
1082	46511	39382
1083	46559	39343
1084	46611	39308
1085	46662	39271
1086	46711	39234
1087	46771	39205
1088	46825	39172
1089	46877	39135
1090	46927	39099
1091	46984	39067
1092	47034	39030
1093	47087	38995
1094	47140	38960
1095	47221	38949
1096	47260	38902
1097	47308	38863
1098	47368	38834
