iter	Passed	Remaining
848	96490	73987
849	96568	73846
850	96683	73733
851	96798	73621
852	96907	73504
853	97007	73380
854	97109	73258
855	97204	73130
856	97286	72993
857	97387	72870
858	97473	72736
859	97560	72603
860	97677	72492
861	97785	72375
862	97877	72245
863	97972	72118
864	98058	71985
865	98157	71861
866	98243	71727
867	98335	71598
868	98418	71463
869	98518	71341
870	98614	71215
871	98725	71100
872	98818	70972
873	98933	70860
874	99033	70738
875	99128	70611
876	99224	70486
877	99319	70360
878	99408	70230
879	99503	70104
880	99589	69972
881	99678	69843
882	99775	69718
883	99862	69587
884	99945	69453
885	100104	69372
886	100256	69286
887	100400	69194
888	100551	69107
889	100692	69013
890	100831	68918
891	100969	68822
892	101109	68727
893	101247	68630
894	101386	68534
895	101539	68448
896	101688	68359
897	101849	68277
898	102001	68189
899	102157	68104
900	102306	68015
901	102454	67924
902	102627	67850
903	102790	67769
904	102972	67700
905	103120	67609
906	103284	67528
907	103440	67441
908	103599	67357
909	103748	67265
910	103900	67176
911	104100	67117
912	104260	67033
913	104420	66948
914	104589	66868
915	104758	66789
916	104907	66697
917	105076	66617
918	105212	66516
919	105370	66429
920	105522	66338
921	105805	66329
68	91220
885	131371	91040
886	131471	90859
887	131564	90673
888	131664	90491
889	131761	90308
890	131864	90129
891	131964	89949
892	132056	89762
893	132149	89578
894	132256	89402
895	132360	89225
896	132457	89043
897	132569	88871
898	132674	88695
899	132782	88521
900	132921	88368
901	133017	88186
902	133127	88014
903	133216	87828
904	133310	87646
905	133403	87463
906	133496	87280
907	133592	87100
908	133685	86917
909	133784	86739
910	133880	86559
911	133985	86385
912	134070	86198
913	134170	86021
914	134286	85855
915	134388	85679
916	134486	85502
917	134578	85320
918	134663	85135
919	134760	84957
920	134862	84783
921	134959	84605
922	135072	84438
923	135176	84266
924	135272	84088
925	135367	83910
926	135458	83729
927	135569	83562
928	135685	83397
929	135816	83242
930	135925	83073
931	136032	82903
932	136123	82724
933	136226	82552
934	136334	82384
935	136432	82209
936	136538	82039
937	136644	81870
938	136739	81694
939	136847	81526
940	136933	81345
941	137053	81184
942	137163	81017
943	137268	80848
944	137359	80671
945	137449	80493
946	137551	80323
947	137661	80157
948	137750	79979
949	137852	79809
950	137950	79636
951	138051	79466
952	138143	79291
953	138253	79126
954	138342	78949
955	138444	78779
956	138536	78605
957	138640	78437
958	138747	78271
959	138835	78095
960	138931	77922
961	139033	77754
962	139131	77584
963	139249	77425
964	139351	77256
965	139436	77080
966	139534	76909
967	139621	76733
968	139722	76566
969	139817	76395
970	139908	76222
971	140000	76049
972	140164	75916
973	140289	75762
974	140380	75589
975	140479	75421
976	140584	75256
977	140676	75084
978	140773	74916
979	140867	74745
980	140956	74573
981	141055	74406
982	141159	74241
983	141264	74077
984	141382	73920
985	141479	73752
986	141582	73588
987	141691	73427
988	141792	73261
989	141890	73095
990	142001	72935
991	142100	72769
992	142209	72608
993	142307	72442
994	142421	72284
995	142522	72119
996	142622	71954
997	142719	71789
998	142814	71621
999	142910	71455
1000	143016	71293
1001	143131	71137
1002	143244	70979
1003	143349	70818
1004	143460	70659
1005	143577	70504
1006	143677	70340
1007	143768	70172
1008	143865	70008
1009	143953	69838
1010	144044	69671
1011	144139	69505
1012	144230	69338
1013	144325	69173
1014	144414	69006
1015	144522	68847
1016	144609	68678
1017	144698	68511
1018	144789	68345
1019	144881	68179
1020	144979	68017
1021	145065	67848
1022	145154	67682
1023	145330	67556
1024	145426	67392
1025	145523	67230
1026	145635	67074
1027	145722	66907
1028	145814	66743
1029	145909	66579
1030	145997	66413
1031	146081	66246
1032	146166	66079
1033	146247	65910
1034	146336	65745
1035	146431	65583
1036	146519	65418
1037	146599	65249
1038	146686	65084
1039	146783	64923
1040	146887	64765
1041	146989	64607
1042	147088	64448
1043	147191	64290
1044	147273	64123
1045	147365	63961
1046	147454	63798
1047	147553	63639
1048	147676	63491
1049	147779	63333
1050	147876	63174
1051	147970	63014
1052	148063	62853
1053	148152	62690
1054	148245	62530
1055	148353	62375
1056	148452	62218
1057	148547	62058
1058	148639	61897
1059	148736	61739
1060	148835	61582
1061	148932	61424
1062	149033	61267
1063	149133	61111
1064	149229	60952
1065	149323	60794
1066	149418	60635
1067	149513	60477
1068	149611	60320
1069	149708	60163
1070	149831	60016
1071	149918	59855
1072	150005	59694
1073	150133	59550
1074	150239	59396
1075	150343	59243
1076	150450	59090
1077	150546	58933
1078	150638	58775
1079	150734	58619
1080	150854	58471
1081	150942	58312
1082	151034	58154
1083	151142	58002
1084	151245	57849
1085	151343	57694
1086	151434	57536
1087	151541	57385
1088	151628	57226
1089	151735	57074
1090	151831	56919
1091	151950	56772
1092	152038	56614
1093	152129	56457
1094	152226	56302
1095	152324	56148
1096	152416	55992
1097	152505	55835
1098	152607	55682
1099	152704	55529
1100	152788	55370
1101	152890	55218
1102	152996	55067
1103	153100	54916
1104	153190	54760
1105	153295	54609
1106	153384	54453
1107	153475	54298
1108	153571	54144
1109	153668	53991
1110	153756	53835
1111	153853	53682
1112	153950	53530
1113	154072	53385
1114	154164	53231
1115	154263	53080
1116	154357	52926
1117	154465	52778
1118	154563	52626
1119	154661	52474
1120	154750	52319
1121	154850	52168
1122	154944	52016
1123	155044	51865
1124	155144	51714
1125	155252	51566
1126	155340	51412
1127	155425	51257
1128	155518	51104
1129	155618	50954
1130	155716	50804
1131	155810	50652
1132	155906	50501
1133	156002	50350
1134	156100	50199
1135	156195	50048
1136	156291	49897
1137	156389	49747
1138	156498	49601
1139	156594	49450
1140	156685	49299
1141	156780	49148
1142	156875	48997
1143	156993	48854
1144	157095	48706
1145	157210	48562
1146	157305	48412
1147	157389	48258
1148	157480	48107
1149	157573	47957
1150	157677	47809
1151	157773	47660
1152	157869	47511
1153	157967	47362
1154	158065	47214
1155	158163	47066
1156	158259	46917
1157	158353	46767
1158	158449	46618
1159	158550	46471
1160	158648	46323
1161	158735	46172
1162	158833	46024
1163	158931	45877
1164	159025	45728
1165	159121	45580
1166	159213	45431
1167	159319	45286
1168	159409	45136
1169	159507	44989
1170	159604	44841
1171	159694	44692
1172	159786	44544
1173	159886	44397
1174	159978	44249
1175	160099	44109
1176	160206	43965
1177	160323	43823
1178	160423	43677
1179	160518	43530
1180	160610	43382
1181	160699	43233
1182	160790	43085
1183	160898	42942
1184	160993	42795
1185	161089	42649
1186	161189	42504
1187	161285	42357
1188	161402	42217
1189	161500	42071
1190	161608	41928
1191	161709	41784
1192	161816	41641
1193	161915	41495
1194	162020	41352
1195	162117	41207
1196	162218	41062
1197	162319	40918
1198	162432	40777
1199	162523	40630
1200	162620	40485
1201	162708	40338
1202	162806	40194
1203	162904	40049
1204	163013	39907
1205	163120	39765
1206	163228	39623
1207	163326	39479
1208	163421	39334
1209	163534	39194
1210	163634	39050
1211	163732	38906
1212	163831	38763
1213	163929	38619
1214	164017	38473
1215	164113	38329
1216	164212	38185
1217	164302	38040
1218	164405	37898
1219	164521	37759
1220	164611	37613
1221	164709	37470
1222	164802	37326
1223	164900	37183
1224	164996	37040
1225	165090	36896
1226	165193	36754
1227	165292	36611
1228	165388	36468
1229	165480	36324
1230	165577	36182
1231	165674	36039
1232	165774	35897
1233	165867	35754
1234	165965	35612
1235	166061	35469
1236	166157	35327
1237	166254	35184
1238	166351	35042
1239	166447	34900
1240	166544	34758
1241	166652	34618
1242	166746	34476
1243	166832	34332
1244	166925	34189
1245	167022	34047
1246	167122	33907
1247	167217	33765
1248	167311	33622
1249	167400	33480
1250	167488	33336
1251	167588	33196
1252	167707	33059
1253	167803	32918
1254	167898	32777
1255	167991	32635
1256	168094	32495
1257	168183	32353
1258	168285	32213
1259	168376	32071
1260	168468	31930
1261	168572	31791
1262	168661	31649
1263	168772	31511
1264	168860	31369
1265	168950	31227
1266	169048	31087
1267	169140	30946
1268	169240	30807
1269	169330	30666
1270	169417	30524
1271	169510	30383
1272	169602	30243
1273	169702	30104
1274	169817	29967
1275	169916	29828
1276	170029	29691
1277	170133	29553
1278	170217	29412
1279	170311	29272
1280	170404	29132
1281	170497	28992
1282	170592	28853
1283	170681	28712
1284	170776	28573
1285	170888	28437
1286	170987	28298
1287	171081	28159
1288	171247	28032
1289	171399	27902
1290	171495	27763
1291	171588	27624
1292	171682	27485
1293	171784	27347
1294	171893	27210
1295	171998	27073
1296	172096	26935
1297	172210	26800
1298	172310	26662
1299	172414	26525
1300	172507	26386
1301	172605	26248
1302	172699	26110
1303	172792	25971
1304	172913	25837
1305	173022	25701
1306	173126	25564
1307	173233	25428
1308	173341	25292
1309	173441	25155
1310	173536	25017
1311	173624	24879
1312	173715	24740
1313	173814	24603
1314	173921	24468
1315	174032	24332
1316	174128	24195
1317	174216	24057
1318	174318	23920
1319	174404	23782
1320	174494	23644
1321	174595	23508
1322	174713	23374
1323	174833	23240
1324	174942	23105
1325	175080	22974
1326	175181	22838
1327	175276	22701
1328	175373	22564
1329	175472	22428
1330	175564	22291
1331	175657	22155
1332	175749	22018
1333	175842	21881
1334	175928	21743
1335	176022	21607
1336	176125	21472
1337	176217	21335
1338	176313	21199
1339	176405	21063
1340	176502	20927
1341	176602	20792
1342	176703	20657
1343	176799	20521
1344	176887	20384
1345	176992	20250
1346	177083	20114
1347	177182	19979
1348	177282	19844
1349	177381	19709
1350	177476	19573
1351	177575	19438
1352	177677	19304
1353	177763	19167
1354	177854	19032
1355	177937	18895
1356	178031	18760
1357	178132	18626
1358	178234	18492
1359	178333	18357
1360	178423	18222
1361	178519	18087
1362	178618	17953
1363	178721	17819
1364	178809	17684
1365	178905	17550
1366	178996	17415
1367	179090	17280
1368	179189	17146
1369	179284	17012
1370	179391	16879
1371	179483	16744
1372	179580	16610
1373	179674	16476
1374	179765	16342
1375	179851	16207
1376	179945	16073
1377	180103	15945
1378	180216	15813
1379	180310	15679
1380	180419	15546
1381	180513	15412
1382	180613	15279
1383	180710	15146
1384	180817	15013
1385	180920	14880
1386	181020	14747
1387	181119	14614
1388	181218	14481
1389	181311	14348
1390	181421	14216
1391	181515	14083
1392	181649	13952
1393	181750	13820
1394	181850	13687
1395	181939	13554
1396	182041	13421
1397	182141	13289
1398	182251	13157
1399	182345	13024
1400	182440	12891
1401	182543	12759
1402	182629	12626
1403	182720	12493
1404	182814	12361
1405	182912	12228
1406	183005	12096
1407	183098	11963
1408	183185	11831
1409	183274	11698
1410	183373	11566
1411	183468	11434
1412	183575	11302
1413	183677	11171
1414	183770	11039
1415	183861	10907
1416	183960	10775
1417	184046	10643
1418	184141	10511
1419	184234	10379
1420	184336	10248
1421	184430	10116
1422	184518	9984
1423	184616	9853
1424	184713	9721
1425	184810	9590
1426	184904	9459
1427	185002	9327
1428	185089	9196
1429	185187	9065
1430	185284	8934
1431	185391	8803
1432	185512	8673
1433	185636	8543
1434	185758	8414
1435	185853	8283
1436	185944	8152
1437	186034	8020
1438	186124	7889
1439	186233	7759
1440	186339	7629
1441	186437	7498
1442	186523	7367
1443	186619	7237
1444	186710	7106
